group_age,Sex,Pclass,Survived
Childs,female,1,0.909090909091
Childs,female,2,1.0
Childs,female,3,0.511627906977
Childs,male,1,0.8
Childs,male,2,0.6
Childs,male,3,0.21568627451
Adults,female,1,0.982456140351
Adults,female,2,0.918367346939
Adults,female,3,0.532608695652
Adults,male,1,0.402985074627
Adults,male,2,0.0833333333333
Adults,male,3,0.128301886792
Seniors,female,1,0.961538461538
Seniors,female,2,0.846153846154
Seniors,female,3,0.111111111111
Seniors,male,1,0.28
Seniors,male,2,0.0952380952381
Seniors,male,3,0.0645161290323
